trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8992, 'e': 1.0}",20,0,-99.42247954769046,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.8984, 'e': 0.99850112443771089}",30,0,-169.2866818175609,"{0: 12, 1: 8, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.8976, 'e': 0.997004495503373}",20,0,-85.67969249076847,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.8967999999999999, 'e': 0.99551010982957056}",30,0,-195.85651400987746,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.8959999999999999, 'e': 0.99401796405393528}",30,7,-69.72833846246287,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.8951999999999999, 'e': 0.99252805481913842}",20,0,-152.01111326694672,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.8943999999999999, 'e': 0.99104037877288365}",20,0,-35.331108425142595,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.8935999999999998, 'e': 0.98955493256789928}",20,0,-124.1925994218122,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.8927999999999998, 'e': 0.98807171286193052}",30,0,-165.86749257831522,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
10,False,"{'a': 0.8919999999999998, 'e': 0.98659071631773265}",20,0,-50.43669832492208,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.8911999999999998, 'e': 0.98511193960306265}",20,0,-47.616431935076236,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.8903999999999997, 'e': 0.98363537939067236}",25,12,-101.01270458931353,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.8895999999999997, 'e': 0.98216103235830077}",30,0,-88.89825629053979,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.8887999999999997, 'e': 0.9806888951886662}",20,0,-86.02487450135,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.8879999999999997, 'e': 0.97921896456945956}",20,10,-20.447763680137,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.8871999999999997, 'e': 0.97775123719333634}",25,0,-140.81443615247073,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.8863999999999996, 'e': 0.97628570975790929}",20,0,-188.48611168984854,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.8855999999999996, 'e': 0.97482237896574109}",20,0,-169.54815493582686,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.8847999999999996, 'e': 0.97336124152433678}",25,0,-170.21126553421442,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.8839999999999996, 'e': 0.9719022941461366}",20,0,-183.47646646244718,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
21,False,"{'a': 0.8831999999999995, 'e': 0.97044553354850815}",30,0,-97.79043652010515,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.8823999999999995, 'e': 0.96899095645373967}",30,0,-323.291701617466,"{0: 14, 1: 2, 2: 5, 3: 4, 4: 5}",0
23,False,"{'a': 0.8815999999999995, 'e': 0.96753855958903201}",20,0,-85.59905253174401,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0.8807999999999995, 'e': 0.96608833968649155}",25,0,-13.72178591081859,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
25,False,"{'a': 0.8799999999999994, 'e': 0.96464029348312308}",20,0,-79.83709058333523,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.8791999999999994, 'e': 0.96319441772082182}",30,0,-146.84217385658258,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
