trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.16275961609534,"{0: 16, 1: 3, 2: 6, 3: 5, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,13,-59.593816826767366,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.47608517981959,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.89368173724418,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.73994318613808,"{0: 18, 1: 1, 2: 7, 3: 4, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.65306000327982,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.29110694086464,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,13,-57.271133355633914,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.55217948946562,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.50590047992588,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.20114377891173,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.705494242983974,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.5164119062517,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.75477341639748,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.54673096819229,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.66300124256628,"{0: 15, 1: 2, 2: 10, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.61427174491735,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,6,-106.29672788048595,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.05604557789027,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,3,-166.1242205531965,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 3}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.65275001681368,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,10,-12.148469602864433,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.1433974359723,"{0: 18, 1: 1, 2: 5, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.29245335763179,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.67381182118325,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.56253503784934,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-215.66445072507366,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,14,-4.555824737954774,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-213.42034882613967,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-30.20242822098487,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
